Station_Id_C Year Mon Day Hour TEM RHU PRE_1h
58237 2022 1 7 20 3.7000 84 0.0000 
58237 2022 1 7 21 2.3000 93 0.0000 
58237 2022 1 7 22 1.4000 95 0.0000 
58237 2022 1 7 23 1.1000 97 0.0000 
58237 2022 1 8 0 1.4000 97 0.0000 
58237 2022 1 8 1 3.5000 88 0.0000 
58237 2022 1 8 2 5.3000 78 0.0000 
58237 2022 1 8 2 5.3000 78 0.0000 
58237 2022 1 8 3 6.7000 69 0.0000 
58237 2022 1 8 4 8.0000 61 0.0000 
58237 2022 1 8 5 9.1000 56 0.0000 
58237 2022 1 8 6 8.9000 55 0.0000 
58237 2022 1 8 7 8.3000 60 0.0000 
58237 2022 1 8 8 7.9000 61 0.0000 
58237 2022 1 8 9 7.3000 64 0.0000 
58237 2022 1 8 10 6.5000 68 0.0000 
58237 2022 1 8 11 5.4000 76 0.0000 
58237 2022 1 8 12 5.0000 78 0.0000 
58237 2022 1 8 13 5.7000 71 0.0000 
58237 2022 1 8 14 5.6000 75 0.0000 
58237 2022 1 8 15 5.3000 75 0.0000 
58237 2022 1 8 16 5.1000 68 0.0000 
58237 2022 1 8 17 5.0000 59 0.0000 
58237 2022 1 8 18 5.0000 64 0.0000 
58237 2022 1 8 19 4.6000 74 0.0000 
58237 2022 1 8 20 4.5000 78 0.0000 
58237 2022 1 8 21 4.4000 81 0.0000 
58237 2022 1 8 21 4.4000 81 0.0000 
58237 2022 1 8 22 4.4000 80 0.0000 
58237 2022 1 8 23 4.3000 83 0.0000 
58237 2022 1 9 0 4.5000 81 0.0000 
58237 2022 1 9 1 5.1000 79 0.0000 
58237 2022 1 9 2 6.0000 76 0.0000 
58237 2022 1 9 3 7.0000 69 0.0000 
58237 2022 1 9 4 7.3000 65 0.0000 
58237 2022 1 9 5 7.2000 64 0.0000 
58237 2022 1 9 6 8.0000 60 0.0000 
58237 2022 1 9 7 8.3000 59 0.0000 
58237 2022 1 9 8 7.8000 62 0.0000 
58237 2022 1 9 9 7.5000 65 0.0000 
58237 2022 1 9 10 7.0000 70 0.0000 
58237 2022 1 9 11 6.6000 75 0.0000 
58237 2022 1 9 12 6.1000 80 0.0000 
58237 2022 1 9 13 5.9000 86 0.0000 
58237 2022 1 9 14 6.2000 84 0.0000 
58237 2022 1 9 15 5.9000 88 0.0000 
58237 2022 1 9 16 5.5000 91 0.0000 
58237 2022 1 9 17 5.7000 90 0.0000 
58237 2022 1 9 18 5.5000 93 0.0000 
58237 2022 1 9 19 5.3000 94 0.0000 
58237 2022 1 9 20 5.5000 94 0.0000 
58237 2022 1 9 21 5.4000 94 0.0000 
58237 2022 1 9 22 5.5000 95 0.0000 
58237 2022 1 9 23 5.4000 97 0.0000 
58237 2022 1 10 0 5.4000 97 0.0000 
58237 2022 1 10 1 5.6000 95 0.0000 
58237 2022 1 10 2 5.9000 92 0.0000 
58237 2022 1 10 3 6.5000 82 0.0000 
58237 2022 1 10 4 7.2000 74 0.0000 
58237 2022 1 10 5 7.6000 66 0.0000 
58237 2022 1 10 6 7.4000 69 0.0000 
58237 2022 1 10 7 7.5000 71 0.0000 
58237 2022 1 10 8 6.7000 70 0.0000 
58237 2022 1 10 9 5.5000 86 0.4000 
58237 2022 1 10 10 5.1000 89 0.7000 
58237 2022 1 10 11 4.9000 91 0.1000 
58237 2022 1 10 12 4.9000 89 0.0000 
58237 2022 1 10 13 4.7000 90 0.0000 
58237 2022 1 10 14 4.5000 88 0.0000 
58237 2022 1 10 15 4.5000 86 0.0000 
58237 2022 1 10 16 4.3000 89 0.0000 
58237 2022 1 10 17 4.4000 89 0.0000 
58237 2022 1 10 18 4.3000 90 0.0000 
58237 2022 1 10 19 4.1000 93 0.0000 
58237 2022 1 10 20 3.7000 94 0.0000 
58237 2022 1 10 21 3.4000 91 0.0000 
58237 2022 1 10 22 2.6000 86 0.0000 
58237 2022 1 10 23 2.6000 82 0.0000 
58237 2022 1 11 0 2.5000 80 0.0000 
58237 2022 1 11 1 3.2000 81 0.0000 
58237 2022 1 11 2 4.1000 78 0.0000 
58237 2022 1 11 3 5.5000 67 0.0000 
58237 2022 1 11 4 6.0000 61 0.0000 
58237 2022 1 11 5 6.6000 54 0.0000 
58237 2022 1 11 6 6.2000 57 0.0000 
58237 2022 1 11 7 6.5000 52 0.0000 
58237 2022 1 11 8 6.0000 56 0.0000 
58237 2022 1 11 9 5.7000 60 0.0000 
58237 2022 1 11 10 4.0000 69 0.0000 
58237 2022 1 11 11 1.8000 84 0.0000 
58237 2022 1 11 12 1.1000 86 0.0000 
58237 2022 1 11 13 0.6000 89 0.0000 
58237 2022 1 11 14 0.6000 88 0.0000 
58237 2022 1 11 15 -0.5000 94 0.0000 
58237 2022 1 11 16 -0.7000 87 0.0000 
58237 2022 1 11 17 -1.2000 88 0.0000 
58237 2022 1 11 18 -1.5000 87 0.0000 
58237 2022 1 11 19 -1.3000 84 0.0000 
58237 2022 1 11 20 -1.5000 86 0.0000 
58237 2022 1 11 21 -1.9000 90 0.0000 
58237 2022 1 11 22 -2.2000 93 0.0000 
58237 2022 1 11 23 -1.9000 90 0.0000 
58237 2022 1 12 0 -1.3000 90 0.0000 
58237 2022 1 12 1 1.7000 70 0.0000 
58237 2022 1 12 2 3.8000 57 0.0000 
58237 2022 1 12 3 5.4000 52 0.0000 
58237 2022 1 12 4 6.9000 51 0.0000 
58237 2022 1 12 5 8.2000 48 0.0000 
58237 2022 1 12 6 9.0000 44 0.0000 
58237 2022 1 12 7 9.2000 40 0.0000 
58237 2022 1 12 8 9.0000 41 0.0000 
58237 2022 1 12 9 7.9000 46 0.0000 
58237 2022 1 12 10 5.0000 62 0.0000 
58237 2022 1 12 11 3.3000 74 0.0000 
58237 2022 1 12 12 2.6000 78 0.0000 
58237 2022 1 12 13 4.5000 70 0.0000 
58237 2022 1 12 14 3.5000 77 0.0000 
58237 2022 1 12 15 5.7000 66 0.0000 
58237 2022 1 12 16 4.5000 84 0.0000 
58237 2022 1 12 17 3.5000 85 0.0000 
58237 2022 1 12 18 3.0000 85 0.0000 
58237 2022 1 12 19 2.8000 83 0.0000 
58237 2022 1 12 20 2.7000 80 0.0000 
58237 2022 1 12 21 2.5000 77 0.0000 
58237 2022 1 12 22 1.9000 83 0.0000 
58237 2022 1 12 23 1.5000 84 0.0000 
58237 2022 1 13 0 1.1000 75 0.0000 
58237 2022 1 13 1 1.3000 50 0.0000 
58237 2022 1 13 2 2.1000 36 0.0000 
58237 2022 1 13 3 2.9000 37 0.0000 
58237 2022 1 13 4 3.6000 29 0.0000 
58237 2022 1 13 5 4.3000 28 0.0000 
